epoch,Training accuracy,Training Loss,Validation accuracy,Validation Loss
1,95.71428571428571,2.7098414103190103,96.66666666666667,2.70058274269104
2,92.85714285714286,2.692519744237264,96.66666666666667,2.6852004528045654
3,90.0,2.6754306157430015,96.66666666666667,2.6699252128601074
4,87.14285714285714,2.658540407816569,96.66666666666667,2.654857873916626
5,87.14285714285714,2.641908645629883,96.66666666666667,2.640052318572998
6,87.14285714285714,2.6255839665730796,96.66666666666667,2.6255433559417725
7,87.14285714285714,2.609607537587484,96.66666666666667,2.6113524436950684
8,87.14285714285714,2.5940125783284507,96.66666666666667,2.597489833831787
9,87.14285714285714,2.5788236459096274,96.66666666666667,2.583954334259033
10,87.14285714285714,2.5640567938486734,96.66666666666667,2.5707390308380127
11,87.14285714285714,2.5497210025787354,96.66666666666667,2.557828187942505
12,87.14285714285714,2.535815874735514,96.66666666666667,2.545203447341919
13,88.57142857142857,2.5223351319630942,96.66666666666667,2.5328421592712402
14,88.57142857142857,2.5092667738596597,96.66666666666667,2.520721912384033
15,88.57142857142857,2.4965946674346924,96.66666666666667,2.508819580078125
16,88.57142857142857,2.4842997392018638,96.66666666666667,2.497114896774292
17,88.57142857142857,2.472360690434774,96.66666666666667,2.4855878353118896
18,88.57142857142857,2.460756301879883,96.66666666666667,2.474224090576172
19,88.57142857142857,2.44946559270223,96.66666666666667,2.463009834289551
20,90.0,2.438467582066854,96.66666666666667,2.4519364833831787
21,90.0,2.427743832270304,96.66666666666667,2.4409987926483154
22,90.0,2.417276700337728,96.66666666666667,2.430192232131958
23,90.0,2.4070512453715005,96.66666666666667,2.4195172786712646
24,91.42857142857143,2.3970536390940347,96.66666666666667,2.4089746475219727
25,92.85714285714286,2.3872718811035156,96.66666666666667,2.3985681533813477
26,92.85714285714286,2.3776960372924805,96.66666666666667,2.3883020877838135
27,92.85714285714286,2.368317127227783,96.66666666666667,2.3781814575195312
28,92.85714285714286,2.359127918879191,96.66666666666667,2.368213415145874
29,92.85714285714286,2.350121815999349,96.66666666666667,2.3584022521972656
30,92.85714285714286,2.341292937596639,100.0,2.348755121231079
31,92.85714285714286,2.332636912663778,100.0,2.3392767906188965
32,94.28571428571429,2.3241493701934814,100.0,2.3299736976623535
33,94.28571428571429,2.3158268133799234,100.0,2.3208489418029785
34,95.71428571428571,2.3076655069986978,100.0,2.3119070529937744
35,97.14285714285714,2.2996628284454346,100.0,2.3031506538391113
36,98.57142857142857,2.2918155193328857,100.0,2.2945821285247803
37,98.57142857142857,2.2841211954752603,100.0,2.286202907562256
