epoch,Training accuracy,Training Loss,Validation accuracy,Validation Loss
38,98.57142857142857,2.2765773932139077,100.0,2.278012990951538
39,98.57142857142857,2.2691816488901773,100.0,2.2700130939483643
40,98.57142857142857,2.2619316577911377,100.0,2.2622017860412598
41,98.57142857142857,2.254824956258138,100.0,2.25457763671875
42,98.57142857142857,2.2478597164154053,100.0,2.2471389770507812
43,98.57142857142857,2.2410336335500083,100.0,2.2398829460144043
44,98.57142857142857,2.234344561894735,100.0,2.232806444168091
45,98.57142857142857,2.227790594100952,100.0,2.2259063720703125
46,98.57142857142857,2.221369504928589,100.0,2.219179630279541
47,98.57142857142857,2.215079387029012,100.0,2.2126214504241943
48,98.57142857142857,2.2089181741078696,100.0,2.2062289714813232
49,100.0,2.2028839588165283,100.0,2.1999969482421875
50,100.0,2.196974833806356,100.0,2.193922281265259
51,100.0,2.1911888122558594,100.0,2.187999725341797
52,100.0,2.185523827870687,100.0,2.1822257041931152
53,100.0,2.179978291193644,100.0,2.176596164703369
54,100.0,2.1745500564575195,100.0,2.1711061000823975
55,100.0,2.16923721631368,100.0,2.1657521724700928
56,100.0,2.1640378634134927,100.0,2.1605303287506104
57,100.0,2.158950090408325,100.0,2.1554362773895264
58,100.0,2.1539719104766846,100.0,2.1504664421081543
59,100.0,2.149101734161377,100.0,2.1456170082092285
60,100.0,2.1443371772766113,100.0,2.1408841609954834
61,100.0,2.139676809310913,100.0,2.1362650394439697
62,100.0,2.1351184050242105,100.0,2.13175630569458
63,100.0,2.130659898122152,100.0,2.127354145050049
64,100.0,2.126299778620402,100.0,2.1230556964874268
65,100.0,2.1220357418060303,100.0,2.1188580989837646
66,100.0,2.117866277694702,100.0,2.1147584915161133
67,100.0,2.113788922627767,100.0,2.1107544898986816
68,100.0,2.10980224609375,100.0,2.106842517852783
69,100.0,2.10590394337972,100.0,2.103020429611206
70,100.0,2.1020925045013428,100.0,2.099285840988159
71,100.0,2.098365624745687,100.0,2.0956368446350098
72,100.0,2.094721714655558,100.0,2.0920705795288086
73,100.0,2.0911587874094644,100.0,2.0885844230651855
74,100.0,2.087674935658773,100.0,2.085177183151245
75,100.0,2.084268490473429,100.0,2.081845998764038
76,100.0,2.0809375445048013,100.0,2.0785892009735107
77,100.0,2.0776802698771157,100.0,2.0754048824310303
78,100.0,2.074495236078898,100.0,2.072291135787964
79,100.0,2.0713802178700766,100.0,2.0692458152770996
80,100.0,2.0683337847391763,100.0,2.066267728805542
81,100.0,2.065354267756144,100.0,2.0633544921875
82,100.0,2.062439759572347,100.0,2.060504674911499
83,100.0,2.05958890914917,100.0,2.0577168464660645
84,100.0,2.056800127029419,100.0,2.0549890995025635
85,100.0,2.0540718237559,100.0,2.0523200035095215
86,100.0,2.0514023303985596,100.0,2.0497078895568848
87,100.0,2.048790216445923,100.0,2.047151803970337
88,100.0,2.046234210332235,100.0,2.044649839401245
89,100.0,2.0437326431274414,100.0,2.0422005653381348
90,100.0,2.0412844022115073,100.0,2.0398025512695312
91,100.0,2.0388877391815186,100.0,2.0374550819396973
92,100.0,2.0365418593088784,100.0,2.035156488418579
93,100.0,2.034245014190674,100.0,2.0329055786132812
94,100.0,2.031996011734009,100.0,2.03070068359375
95,100.0,2.029793898264567,100.0,2.028541326522827
96,100.0,2.027637322743734,100.0,2.026425838470459
97,100.0,2.025525172551473,100.0,2.024353504180908
98,100.0,2.02345601717631,100.0,2.0223231315612793
99,100.0,2.0214293003082275,100.0,2.0203335285186768
100,100.0,2.0194433530171714,100.0,2.018383741378784
